title,method,host,port,path
024.by,POST,www.024.by,443,{rand}
Alfaradio.by,POST,alfaradio.by,443,{rand}
Belarus.BY,POST,www.belarus.by,443,{rand}
Belarus24.by,POST,belarus24.by,443,{rand}
Belmarket,POST,belmarket.by,443,{rand}
belnovosti.by,POST,www.belnovosti.by,443,{rand}
Belta,POST,www.belta.by,443,{rand}
Bonkypay.com,POST,bonkypay.com,443,{rand}
Cleanbtc.ru,POST,cleanbtc.ru,443,{rand}
Council.gov.ru,POST,council.gov.ru,443,{rand}
Data.gov.ru,POST,data.gov.ru,443,{rand}
FAfT,POST,tourism.gov.ru,443,{rand}
FSB,POST,www.fsb.ru,80,{rand}
GocMinenergo,POST,minenergo.gov.ru,443,{rand}
gosuslugi.ru,POST,www.gosuslugi.ru,80,{rand}
Gov.ru,POST,gov.ru,80,{rand}
GovCouncil,POST,council.gov.ru,80,{rand}
GovData,POST,data.gov.ru,443,{rand}
Government,POST,government.gov.ru,80,{rand}
GovFAS,POST,en.fas.gov.ru,443,{rand}
GovRegulation,POST,regulation.gov.ru,443,{rand}
Grodnonews.by,POST,grodnonews.by,443,{rand}
Interfax.ru,POST,interfax.ru,443,{rand}
KGB,POST,kgb.by,80,{rand}
Lenta.ru,POST,lenta.ru,443,{rand}
Mil.by,POST,www.mil.by,443,{rand}
Minenergo.gov.ru,POST,minenergo.gov.ru,443,{rand}
Minsknews.by,POST,minsknews.by,443,{rand}
Mogilevnews.by,POST,mogilevnews.by,443,{rand}
ONT.by,POST,ont.by,443,{rand}
Pravo.gov,POST,pravo.gov.ru,80,{rand}
Radiobelarus.by,POST,radiobelarus.by,443,{rand}
Radiobrestfm.by,POST,radiobrestfm.by,443,{rand}
Radiomir.by,POST,radiomir.by,443,{rand}
Radiostalica.by,POST,radiostalica.by,443,{rand}
Radiusfm.by,POST,radiusfm.by,443,{rand}
Roskomnadzor,POST,eais.rkn.gov.ru,443,{rand}
Rosstat,POST,rosstat.gov.ru,443,{rand}
SB,POST,www.sb.by,443,{rand}
Slonves.by,POST,www.slonves.by,443,{rand}
Sputnik,POST,sputnik.by,443,{rand}
Tass.ru,POST,tass.ru,443,{rand}
TVR,POST,www.tvr.by,443,{rand}
Tvrmogilev,POST,www.tvrmogilev.by,443,{rand}
Zakupki,POST,zakupupki.gov,80,{rand}
Zarya,POST,zarya.by,443,{rand}
